"REQID","REQID_expanded","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
"2158",1912,549,"7","2026-05-28T10:47:00.423246Z",337,12.24,"requirement","The system must accommodate orders for compounded drugs or drug mixtures that may contain more than one NDC number for the ingredients.","2026-05-28T10:47:00.423246Z"
"41250",29660,448,"7","2026-05-28T09:51:46.042168Z",338,55.961,"system_related_auxiliary","Fossi (Forecast System for Stock Pool Optimisation and Information) functionalities (equivalent to current MBKS DCVD version) will be integrated in SSS.","2026-05-28T09:51:46.042168Z"
"30005-wikipedia",30005,449,"7","2026-05-28T09:52:16.443182Z",339,16.382,"contextual_auxiliary","Also preserved fish, preserved poultry, offal, avocado, banana skins, broad bean pods and pickled or smoked herring must be avoided.","2026-05-28T09:52:16.443182Z"
"2541",2303,450,"7","2026-05-28T09:52:36.497384Z",340,17.655,"requirement","The system should provide a way to merge allergies that have been entered in a duplicate patient chart.","2026-05-28T09:52:36.497384Z"
"24827",13332,451,"7","2026-05-28T09:52:50.734121Z",341,12.421,"requirement","The Operational radio shall conform to IP 54 [IEC 529/EN 60529] as a minimum.","2026-05-28T09:52:50.734121Z"
"65578-wikipedia",65578,452,"7","2026-05-28T09:52:59.668530Z",342,7.194,"contextual_auxiliary","Thurgood Marshall is nominated as the first African American justice on the United States Supreme Court.","2026-05-28T09:52:59.668530Z"
"1392",1097,453,"7","2026-05-28T09:53:25.085829Z",343,24.003,"requirement","User interface should be able to provide an ability to specify whether a specific task in a milestone.","2026-05-28T09:53:25.085829Z"
"2134",1886,454,"7","2026-05-28T09:53:40.609142Z",344,13.269,"requirement","At discharge and each change in level of care, the system shall provide the ability to designate which current medications are being continued / discontinued.","2026-05-28T09:53:40.609142Z"
"19064",7138,455,"7","2026-05-28T09:53:50.246472Z",345,8.241,"requirement","The MultiMahjongClient must send this game initialisation information to the MultiMahjongServer so that the MultiMahjongServer can create a new game.","2026-05-28T09:53:50.246472Z"
"28838",17502,456,"7","2026-05-28T09:54:07.679958Z",346,15.928,"requirement","At any time on an open Supplementary Logical Channel the OPEN may receive a request to either open or close a Supplementary Logical Channel.","2026-05-28T09:54:07.679958Z"
"42247",30740,457,"7","2026-05-28T09:54:16.906352Z",347,7.081,"requirement","MCG POS must support the pausing of an activity in execution and remind the lead owner about the paused activity.","2026-05-28T09:54:16.906352Z"
"27102",15831,458,"7","2026-05-28T09:54:29.027905Z",348,10.806,"requirement","The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.","2026-05-28T09:54:29.027905Z"
"21722",9913,459,"7","2026-05-28T09:56:04.080703Z",349,115.849,"system_related_auxiliary","Telescopes system quickly to a safe state upon detection of danger.be analyzed during the functional speciﬁcation phase of the software.network into the Gemini 8m Telescopes.protected from intrusion, whether the purpose is to access private data or to be destructive.a well designed network gateway acting as a ﬁrewall.other systems, though status information should still be provided for use by other systems.users at unauthorized access levels.","2026-05-28T09:56:04.080703Z"
"43285",31595,460,"7","2026-05-28T10:47:54.638733Z",350,202.116,"system_related_auxiliary","The customer must then be able to choose from these different router models (see further requirements).The details can be found in the ""20080430_InAc_Business_Plan_Attachment_V1"" document attached to the business plan for Internet Access.","2026-05-28T10:47:54.638733Z"
