REQID,REQID_expanded,text
2158,1912,The system must accommodate orders for compounded drugs or drug mixtures that may contain more than one NDC number for the ingredients.
41250,29660,Fossi (Forecast System for Stock Pool Optimisation and Information) functionalities (equivalent to current MBKS DCVD version) will be integrated in SSS.
30005-wikipedia,30005,"Also preserved fish, preserved poultry, offal, avocado, banana skins, broad bean pods and pickled or smoked herring must be avoided."
2541,2303,The system should provide a way to merge allergies that have been entered in a duplicate patient chart.
24827,13332,The Operational radio shall conform to IP 54 [IEC 529/EN 60529] as a minimum.
65578-wikipedia,65578,Thurgood Marshall is nominated as the first African American justice on the United States Supreme Court.
1392,1097,User interface should be able to provide an ability to specify whether a specific task in a milestone.
2134,1886,"At discharge and each change in level of care, the system shall provide the ability to designate which current medications are being continued / discontinued."
19064,7138,The MultiMahjongClient must send this game initialisation information to the MultiMahjongServer so that the MultiMahjongServer can create a new game.
28838,17502,At any time on an open Supplementary Logical Channel the OPEN may receive a request to either open or close a Supplementary Logical Channel.
42247,30740,MCG POS must support the pausing of an activity in execution and remind the lead owner about the paused activity.
27102,15831,The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.
21722,9913,"Telescopes system quickly to a safe state upon detection of danger.be analyzed during the functional speciﬁcation phase of the software.network into the Gemini 8m Telescopes.protected from intrusion, whether the purpose is to access private data or to be destructive.a well designed network gateway acting as a ﬁrewall.other systems, though status information should still be provided for use by other systems.users at unauthorized access levels."
43285,31595,"The customer must then be able to choose from these different router models (see further requirements).The details can be found in the ""20080430_InAc_Business_Plan_Attachment_V1"" document attached to the business plan for Internet Access."
9655-wikipedia,9655,"Hal is given a ring that grants him superpowers, and must confront Parallax, who threatens to upset the balance of power in the universe."
40941,29286,Comment: The required reports will be defined in the specification phase.
26366,15018,"itself as shown in Figure 11.economic operator data (for example by uploading attestations to verify these data).operator data must initially be provided by an economic operator (e.g.VAT number, social insurance number of thompany etc."
28847,17514,"The contents of the GlobalPlatform Registry may be updated in response to:   An internal OPEN invoked action,   An authorized Application invoked action."
72392-wikipedia,72392,Brunnadern was a municipality in Toggenburg in the canton of St.Gallen in Switzerland.
64401-wikipedia,64401,"The Australian flag is the most important flag flown in Australia, and must be given more importance than flags from other countries."
37253-wikipedia,37253,"Sometimes, poisons have an antidote."
21182,9306,"To conclude, all needed software invoked by the frontend is included in PeaZip packages (available under suitable licenses, as open source or royalty free) so no custom package is needed to be installed to make PeaZip work (with the possible exception of some standard gtk/gdk related libraries needed to run PeaZip, Gwrap and Pea binaries, which may be missing in some computer systems, but are well known, trustable and widely available)."
16031-wikipedia,16031,"Indeed, it would not be compassionate to ignore someone's need, though the way one fulfills that need may vary."
23918,12406,The solution must be produced in a timely manner – see time restrictions.
20412-wikipedia,20412,"In Trop v Dulles (1958) the Court agreed with the view that what are prohibited ""cruel and unusual punishments"" should change over time based on punishments that offend society's ""evolving sense of decency."
33026-wikipedia,33026,"In the context of exception handling, a program is said to be exception-safe, if exceptions that occur will not produce side-effects (such as memory leaks), will not change stored data so that it becomes unreadable, or generate output that is invalid."
36811,23975,"The Lock, Save and Undo functions regulate how changes are handled."
21667,9832,Should a subsystem fail (e.g.restart with the remaining equipment.reconﬁguration procedure.the local connections and interfaces to the control electronics.a procedure to replace faulty cards and/or assemblies.to do so.
4649,4147,"SRS 64 - Libwarc and the bindings to its functionality shall enable the use of libwarc's iterators described in SRS 16-20 to be used within Java v1.and and later, using Java's new container iterators, such as ""for"" and ""foreach""."
42610,31445,Layer contains the technical logic and the lowest layer the database in which the technically processed data is stored.
25916,14544,Once this is done the user is free to access his data.
34142,19808,Display error message on the MFD and DKU in case of missing input TMS-SRS-FEAS-45419 Precondition:  Feasibility calculation is not possible because of missing input data (maybe on DKU or missing input data e.g.from IRS).
36876-wikipedia,36876,Suárez plays in the game as a midfielder.
33807,19182,"DMG_SET_COMMANDS: Automatically centre symbol If IN_DMGx_MAP_STATUS.DMGx_MTCC_OP_MODE_ACTUAL = ""AUT"" and  IN_DMGx_MAP_STATUS.DMGx_MTCC_ROT_POINT = ""RP_DECENTERED"" and  IN_DMGx_MAP_STATUS.DMGx_MTCC_DIRECTION_MODE /= ""NUP"" and the IN_NAV_DMG_FLIGHT_COND changes to Hover (aircraft speed < 20 knots) then the MST_OPF_DMG shall cause the aircraft symbol to be displayed in the center of the map by sending the conrol command 22:  - MTCC_DMGx_SCALE = 0 (no change);  - MTCC_DMGx_ZOOM = 0 (no change);  - MTCC_DMGx_ROTATION_POINT = RP_CENTERED;  - MTCC_DMGx_POSITION_MODE = IN_DMGx_MAP_STATUS.DMGx_MTCC_MAP_POS_MODE;  - MTCC_DMGx_DIRECTION_MODE = IN_DMGx_MAP_STATUS.DMGx_MTCC_DIRECTION_MODE;  - MTCC_DMGx_MAP_SOURCE = IN_DMGx_MAP_STATUS.DMGx_MTCC_MAP_SOURCE ;  - MTCC_DMGx_MAP_TYPE = IN_DMGx_MAP_STATUS."
24689,13193,EIRENE mobiles will generate EM emissions in the GSM frequency band.with the normal operation of any on-train or ground based systems.
2736,2509,"Capability to enable access to health information in extra-ordinary situations during which an individual may need emergency care but due to their health status is incapable of granting access permissions, or in the case of a public health emergency during which the health status of a population needs to be determined."
20683,8801,The system should allow various management actions to be performed on items existing in the inventory.
39829,27252,"so_BCMs_01.BCM_FH_FT_lin = lift) IF i_mMFG_1.MG1_Typ3_can = 1 AND si_mMFG_1.so_BCMs_01.BCM_FH_FT_lin = lower) IF i_mMFG_1.MG1_Typ3_can = 1 AND si_mMFG_1.so_BCMs_01.BCM_FH_BT_lin = lift) IF i_mMFG_1.MG1_Typ3_can = 1 AND si_mMFG_1.so_BCMs_01.BCM_FH_BT_lin = lower) IF i_mMFG_1.MG1_Typ3_can = 1 AND si_mMFG_1.si_FHFTs_01.Switch_FH_BT_lin = lower OR si_FHFTs_01.si_FHFTs_01.Switch_FH_FT_lin = lower OR si_FHFTs_01.this is ignored and ""lifting"" continues."
1383,1085,GUI should able to provide ability to change start/end date of a task.
4096-wikipedia,4096,The European Union has made a few symbols that warn of dangers and that should be easy to understand.
2466-wikipedia,2466,The mayor is currently Wilhalm Dorner.
38360,25706,"An "".open command"" may be accepted and executed up to a maximum of 2s after an external close command."
56446-wikipedia,56446,An association fallacy  is a logical fallacy that occurs when someone says that a quality of one thing must apply to another just because they both share a similar quality or belief.
20388-wikipedia,20388,The judge must also take into account the defendant's ability to pay the amount of the bail and how likely it is the defendant will simply flee and not stand trial.
