SRS,id,text,label,y_pred,y_probas,error_type,inspection_label,error_characterization,inspection_note
NTP,108154,The NPT should enable the Node Managers to customize the way GBIF-compliant data are served to their own community or to a specific group of data users.,auxiliary,requirement,0.996762514,FP,requirement,plausible_omitted_requirement,States that NPT should enable node managers to customize how data are served; this is a system capability with modal force.
NTP,108177,- Green: NPT V1.0 must have this feature,auxiliary,requirement,0.996442616,FP,contextual_auxiliary,genuine_model_overprediction,Legend/priority marker explaining what green means; the concrete feature is not specified in this segment.
NTP,108178,- Yellow: NPT V1.0 should have this feature if at all possible,auxiliary,requirement,0.996632755,FP,contextual_auxiliary,genuine_model_overprediction,Legend/priority marker explaining what yellow means; it does not state a concrete system behavior by itself.
NTP,108194,This section lists the different actors NPT instances shall interact with: end users (primary actors) and actors from which the system needs assistance to satisfy a goal (secondary actors).,auxiliary,requirement,0.996143162,FP,contextual_auxiliary,genuine_model_overprediction,Introduces a section listing actors and dependencies; mainly document structure/context rather than a specific requirement.
NTP,108200,"Administrators should have skills in system administration, database management and deployment of Web applications.",auxiliary,requirement,0.996757448,FP,contextual_auxiliary,genuine_model_overprediction,"Describes expected administrator skills, not behavior or constraints of the software system."
NTP,108201,They should also have basic knowledge of Web-based GIS.,auxiliary,requirement,0.648196042,FP,contextual_auxiliary,genuine_model_overprediction,"Describes user knowledge expectations, not a system requirement."
NTP,108203,Data managers should have basic knowledge of taxonomy and biodiversity data.,auxiliary,requirement,0.996456087,FP,contextual_auxiliary,genuine_model_overprediction,"Describes data manager domain knowledge, not a system capability or constraint."
NTP,108209,Other data source types may be provided as modules in the future.,auxiliary,requirement,0.991570115,FP,system_related_auxiliary,genuine_model_overprediction,Mentions possible future module support but is non-committal and design-oriented rather than a required behavior.
NTP,108493,"In addition, NPT developers should provide the possibility to consume services and functions that are created elsewhere.",requirement,auxiliary,0.899969637,FN,contextual_auxiliary,original_label_overinclusive_or_non_requirement,"The subject is NPT developers rather than the system; under the guide, development/provider statements are not automatically requirements."
NTP,108538,- Maintenance mode: the mode the system switches to when achieving certain operations that may prevent to deliver a satisfactory experience to the user in particular when the index may be inconsistent.,auxiliary,requirement,0.658469081,FP,contextual_auxiliary,genuine_model_overprediction,Defines maintenance mode and its context; it does not impose a specific system obligation.
NTP,108555,A user may only initiate the use cases in this section if he is logged into the system using a user account with administrator role.,auxiliary,requirement,0.996444881,FP,requirement,plausible_omitted_requirement,Defines an access-control precondition for initiating use cases; this is a verifiable system constraint.
NTP,108591,Post conditions The distribution map will use the projection and default extent the administrator chose.,auxiliary,requirement,0.996807575,FP,requirement,plausible_omitted_requirement,Post-condition states how the distribution map will use selected projection and extent; this is expected system behavior.
NTP,108596,The administrator enters the default extent and selects the projection that will be used by the distribution map from the list.,auxiliary,requirement,0.996124923,FP,system_related_auxiliary,genuine_model_overprediction,Use-case step describing administrator input; the main subject is user action rather than a system obligation.
NTP,108632,"Depending on the roles the administrator associates with those accounts, the users may be allowed to access restricted back end functionalities.",auxiliary,requirement,0.996393383,FP,requirement,plausible_omitted_requirement,Specifies role-based access to restricted back-end functions; this is an access-control capability/constraint.
NTP,108653,The system requests the security officer to select the security roles this user account will be associated with.,auxiliary,requirement,0.996766448,FP,requirement,plausible_omitted_requirement,States that the system requests role selection from the security officer; this is observable system behavior.
